,STNAME,CoC Code,Coc,FIPS code,CTYNAME,Year,Population,Male,Female,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or More Races,Non Hispanic,Hispanic
266,Florida,FL-501,Tampa/Hillsborough County,12057,Hillsborough County,2013,1304474,635991,668483,985672,227416,6678,50867,1730,32111,961088,343386
267,Florida,FL-501,Tampa/Hillsborough County,12057,Hillsborough County,2014,1332742,649726,683016,1003712,233865,6896,53012,1805,33452,975649,357093
268,Florida,FL-501,Tampa/Hillsborough County,12057,Hillsborough County,2015,1364645,665954,698691,1024082,240672,7047,55504,1851,35489,991569,373076
269,Florida,FL-501,Tampa/Hillsborough County,12057,Hillsborough County,2016,1398093,682697,715396,1045361,247562,7222,58667,1893,37388,1006912,391181
270,Florida,FL-501,Tampa/Hillsborough County,12057,Hillsborough County,2017,1428960,698819,730141,1063927,254497,7496,61931,1885,39224,1020070,408890
271,Florida,FL-501,Tampa/Hillsborough County,12057,Hillsborough County,2018,1455351,712206,743145,1079685,260497,7671,64629,1909,40960,1030300,425051
272,Florida,FL-501,Tampa/Hillsborough County,12057,Hillsborough County,2019,1476431,722696,753735,1090460,266794,7836,66784,1974,42583,1040438,435993
273,Florida,FL-501,Tampa/Hillsborough County,12057,Hillsborough County,2020,1497957,733475,764482,1101802,273549,8049,68404,2038,44115,1049421,448536
448,Florida,FL-501,Tampa/Hillsborough County,12057,Hillsborough County,2021,1478194,727733,750461,1083063,272285,8052,67802,2082,44910,1030273,447921
48,Colorado,CO-503,Metropolitan Denver,8059,Jefferson County,2007,6107,3126,2981,5499,93,88,127,4,296,4503,1604
49,Colorado,CO-503,Metropolitan Denver,8059,Jefferson County,2008,5916,2988,2928,5331,79,91,117,4,294,4394,1522
50,Colorado,CO-503,Metropolitan Denver,8059,Jefferson County,2009,5739,2921,2818,5113,91,79,133,2,321,4238,1501
51,Colorado,CO-503,Metropolitan Denver,8059,Jefferson County,2010,5807,2950,2857,5115,100,86,140,2,364,4330,1477
244,Colorado,CO-503,Metropolitan Denver,8059,Jefferson County,2011,540582,268344,272238,500405,6447,6367,14897,647,11819,461358,79224
245,Colorado,CO-503,Metropolitan Denver,8059,Jefferson County,2012,546736,271489,275247,505314,6659,6530,15293,652,12288,465189,81547
246,Colorado,CO-503,Metropolitan Denver,8059,Jefferson County,2013,552242,274264,277978,510295,6777,6544,15383,668,12575,469201,83041
247,Colorado,CO-503,Metropolitan Denver,8059,Jefferson County,2014,559099,277790,281309,515966,6947,6733,15719,676,13058,474980,84119
248,Colorado,CO-503,Metropolitan Denver,8059,Jefferson County,2015,565240,281060,284180,521008,7073,6763,16289,694,13413,479708,85532
249,Colorado,CO-503,Metropolitan Denver,8059,Jefferson County,2016,571823,284532,287291,526261,7498,6869,16730,703,13762,484593,87230
250,Colorado,CO-503,Metropolitan Denver,8059,Jefferson County,2017,576041,287262,288779,529189,7893,6906,17092,739,14222,487206,88835
251,Colorado,CO-503,Metropolitan Denver,8059,Jefferson County,2018,580027,289096,290931,531579,8334,7033,17605,713,14763,490198,89829
252,Colorado,CO-503,Metropolitan Denver,8059,Jefferson County,2019,582800,290981,291819,532941,8641,7204,18042,755,15217,491871,90929
253,Colorado,CO-503,Metropolitan Denver,8059,Jefferson County,2020,583283,291446,291837,532304,8962,7247,18467,787,15516,491911,91372
446,Colorado,CO-503,Metropolitan Denver,8059,Jefferson County,2021,579581,291593,287988,528212,9207,7159,18484,786,15733,487482,92099
120,Washington,WA-500,Seattle/King,53033,King County,2007,24683,12663,12020,15319,2402,500,3495,245,2722,20357,4326
121,Washington,WA-500,Seattle/King,53033,King County,2008,24733,12634,12099,15116,2364,530,3593,264,2866,20271,4462
122,Washington,WA-500,Seattle/King,53033,King County,2009,25054,12863,12191,15493,2233,364,3706,277,2981,20650,4404
123,Washington,WA-500,Seattle/King,53033,King County,2010,24674,12598,12076,15349,2009,307,3582,285,3142,20521,4153
424,Washington,WA-500,Seattle/King,53033,King County,2011,1974499,982634,991865,1414377,128651,20733,302723,15657,92358,1796716,177783
425,Washington,WA-500,Seattle/King,53033,King County,2012,2011708,1001535,1010173,1429553,132606,21204,316319,16068,95958,1828765,182943
426,Washington,WA-500,Seattle/King,53033,King County,2013,2047967,1021099,1026868,1443868,135801,21765,330226,16641,99666,1858948,189019
427,Washington,WA-500,Seattle/King,53033,King County,2014,2086174,1041152,1045022,1456473,138729,22078,348382,17021,103491,1891667,194507
428,Washington,WA-500,Seattle/King,53033,King County,2015,2127372,1063251,1064121,1470752,142289,22249,367220,17507,107355,1927375,199997
429,Washington,WA-500,Seattle/King,53033,King County,2016,2167863,1085496,1082367,1483394,145643,22452,386670,18069,111635,1960548,207315
430,Washington,WA-500,Seattle/King,53033,King County,2017,2205001,1105832,1099169,1489973,149967,22704,408614,18305,115438,1991092,213909
431,Washington,WA-500,Seattle/King,53033,King County,2018,2228488,1119197,1109291,1486593,153905,22665,428450,18389,118486,2009856,218632
432,Washington,WA-500,Seattle/King,53033,King County,2019,2249653,1131500,1118153,1483604,157816,22776,445799,18559,121099,2025362,224291
433,Washington,WA-500,Seattle/King,53033,King County,2020,2274315,1145520,1128795,1482855,161627,22837,464002,18900,124094,2044645,229670
464,Washington,WA-500,Seattle/King,53033,King County,2021,2252305,1141102,1111203,1450858,162529,23024,471332,18840,125722,2020561,231744
84,New York,NY-600,New York City,36047,Kings County,2007,38118,19666,18452,21086,11599,77,4042,33,1281,29215,8903
85,New York,NY-600,New York City,36047,Kings County,2008,38719,19936,18783,21734,10984,317,4314,29,1341,29814,8905
86,New York,NY-600,New York City,36047,Kings County,2009,38120,19738,18382,21311,11212,380,3734,56,1427,29335,8785
87,New York,NY-600,New York City,36047,Kings County,2010,37363,19304,18059,20383,11747,459,3283,51,1440,28869,8494
334,New York,NY-600,New York City,36047,Kings County,2011,2540918,1199951,1340967,1256619,918404,26116,282106,3382,54291,2039522,501396
335,New York,NY-600,New York City,36047,Kings County,2012,2568538,1214743,1353795,1270237,918890,26332,293232,3377,56470,2065666,502872
336,New York,NY-600,New York City,36047,Kings County,2013,2587759,1224171,1363588,1279267,917256,26304,302855,3296,58781,2084848,502911
337,New York,NY-600,New York City,36047,Kings County,2014,2601527,1231191,1370336,1286354,913034,26197,312112,3262,60568,2099588,501939
338,New York,NY-600,New York City,36047,Kings County,2015,2608797,1235255,1373542,1290443,906161,25880,320455,3188,62670,2109274,499523
339,New York,NY-600,New York City,36047,Kings County,2016,2608146,1236161,1371985,1290760,896486,25638,327424,3132,64706,2111808,496338
340,New York,NY-600,New York City,36047,Kings County,2017,2594357,1229691,1364666,1285086,885011,25092,329794,3106,66268,2103450,490907
341,New York,NY-600,New York City,36047,Kings County,2018,2580088,1222935,1357153,1282337,872608,24772,329531,3063,67777,2093622,486466
342,New York,NY-600,New York City,36047,Kings County,2019,2562329,1213715,1348614,1274925,861925,24541,328643,3021,69274,2081048,481281
343,New York,NY-600,New York City,36047,Kings County,2020,2538934,1202138,1336796,1263004,850352,24213,327999,2902,70464,2062566,476368
455,New York,NY-600,New York City,36047,Kings County,2021,2641052,1257617,1383435,1317619,878809,25380,341891,2896,74457,2144255,496797
4,California,CA-600,Los Angeles City & County,6037,Los Angeles County,2007,138666,71107,67559,106573,11717,572,12854,334,6616,51221,87445
5,California,CA-600,Los Angeles City & County,6037,Los Angeles County,2008,139245,71512,67733,105716,11794,642,13681,361,7051,52122,87123
6,California,CA-600,Los Angeles City & County,6037,Los Angeles County,2009,129807,66553,63254,96320,11809,1852,12577,501,6748,47745,82062
7,California,CA-600,Los Angeles City & County,6037,Los Angeles County,2010,128445,65830,62615,94279,11770,2232,12542,547,7075,47331,81114
134,California,CA-600,Los Angeles City & County,6037,Los Angeles County,2011,9873700,4863389,5010311,7081018,920197,146065,1416260,36619,273541,5140614,4733086
135,California,CA-600,Los Angeles City & County,6037,Los Angeles County,2012,9931394,4891478,5039916,7105521,922746,146790,1438650,36904,280783,5162623,4768771
136,California,CA-600,Los Angeles City & County,6037,Los Angeles County,2013,9987189,4919940,5067249,7125720,924836,146864,1464161,37104,288504,5186468,4800721
