,CoC Number,year,permanent_housing,homeless,poverty,unemployment_rate
234,CO-503,2010,2252.0,8752,2755459.0,60.3
235,DC-500,2010,4832.0,6539,570954.0,10.0
236,FL-501,2010,682.0,7473,1212957.0,10.4
237,GA-500,2010,2066.0,7019,12031.0,7.5
238,IL-510,2010,7982.0,6240,5115879.0,11.0
239,MA-500,2010,4427.0,5139,680724.0,7.4
240,MI-501,2010,2733.0,2812,1795437.0,15.0
241,NV-500,2010,1399.0,9949,1931061.0,14.0
242,NY-600,2010,24270.0,53187,8040679.0,48.8
243,PA-500,2010,4204.0,6084,1478501.0,10.3
244,TX-503,2010,540.0,2087,1008618.0,6.8
245,TX-700,2010,1729.0,6368,5102158.0,23.6
246,WA-500,2010,3382.0,9022,1910659.0,8.4
247,AZ-502,2009,2529.0,7889,3972331.0,8.9
248,CA-500,2009,1300.0,7086,1755841.0,11.0
249,CA-501,2009,6043.0,5823,803979.0,9.1
250,CA-600,2009,16445.0,33243,9690311.0,11.7
251,CA-601,2009,771.0,7995,2973267.0,9.8
252,CA-609,2009,157.0,2026,1966861.0,13.2
253,CO-503,2009,1961.0,8752,2762022.0,54.1
254,DC-500,2009,3889.0,6228,570114.0,10.0
255,FL-501,2009,488.0,7473,1176593.0,9.8
256,GA-500,2009,1978.0,7019,11440.0,7.4
257,IL-510,2009,7688.0,6240,5185337.0,10.5
258,MA-500,2009,3890.0,5101,715609.0,7.7
259,MI-501,2009,2573.0,3694,1896719.0,15.4
260,NV-500,2009,1369.0,9949,1880847.0,11.9
261,NY-600,2009,24117.0,49343,8244056.0,46.9
262,PA-500,2009,3988.0,6304,1494227.0,9.7
263,TX-503,2009,453.0,2641,1005242.0,6.7
264,TX-700,2009,1524.0,7576,5020176.0,21.5
265,WA-500,2009,3089.0,8952,1885857.0,7.0
266,AZ-502,2008,2523.0,7189,3903475.0,5.1
267,CA-500,2008,1462.0,7202,1736343.0,6.0
268,CA-501,2008,5233.0,5171,797587.0,5.3
269,CA-600,2008,8077.0,47862,9705821.0,7.5
270,CA-601,2008,685.0,8455,2903274.0,6.1
271,CA-609,2008,122.0,6969,1965024.0,8.1
272,CO-503,2008,2001.0,8482,2708056.0,33.300000000000004
273,DC-500,2008,3116.0,6044,561869.0,6.8
274,FL-501,2008,440.0,6483,1162122.0,5.9
275,GA-500,2008,1731.0,6840,11543.0,5.2
276,IL-510,2008,7409.0,5979,5193694.0,6.7
277,MA-500,2008,3594.0,5198,693777.0,5.2
278,MI-501,2008,1793.0,18062,1922204.0,9.7
279,NV-500,2008,1407.0,7533,1845854.0,6.8
280,NY-600,2008,22187.0,50261,8216098.0,28.5
281,PA-500,2008,5426.0,6871,1394536.0,7.1
282,TX-503,2008,374.0,3451,977499.0,4.2
283,TX-700,2008,1911.0,10363,4891584.0,13.3
284,WA-500,2008,2912.0,8501,1847044.0,3.8
285,AZ-502,2007,2014.0,8448,3832171.0,3.2
286,CA-500,2007,1170.0,7202,1720787.0,4.6
287,CA-501,2007,4995.0,5703,754436.0,4.2
288,CA-600,2007,6870.0,47862,9717419.0,5.1
289,CA-601,2007,758.0,7326,2879876.0,4.5
290,CA-609,2007,261.0,6969,1958155.0,5.5
291,CO-503,2007,1801.0,8698,2663141.0,25.4
292,DC-500,2007,3639.0,5320,559556.0,6.0
293,FL-501,2007,435.0,6483,1155062.0,3.4
294,GA-500,2007,1086.0,6840,11606.0,5.1
295,IL-510,2007,6510.0,5979,5195148.0,5.4
296,MA-500,2007,3226.0,5104,682732.0,4.5
297,MI-501,2007,1722.0,18062,1956269.0,8.4
298,NV-500,2007,962.0,7533,1814229.0,4.6
299,NY-600,2007,20369.0,50372,8128959.0,24.8
300,PA-500,2007,5961.0,7640,1397787.0,6.3
301,TX-503,2007,254.0,5281,953213.0,3.7
302,TX-700,2007,1395.0,10363,4798915.0,12.299999999999999
303,WA-500,2007,2775.0,7902,1829115.0,3.1
