,State,STNAME,Coc,CoC Code,FIPS code,CTYNAME,Year,Population
127,CA,California,San Jose/Santa Clara City & County,CA-500,6085,Santa Clara County,2011,1811891.0
128,CA,California,San Bernardino City & County,CA-609,6071,San Bernardino County,2011,2060596.0
129,CA,California,San Francisco,CA-501,6075,San Francisco County,2011,815694.0
130,CO,Colorado,Metropolitan Denver,CO-503,8001,Adams County,2011,452209.0
131,CO,Colorado,Metropolitan Denver,CO-503,8005,Arapahoe County,2011,586433.0
132,CO,Colorado,Metropolitan Denver,CO-503,8013,Boulder County,2011,300045.0
133,CO,Colorado,Metropolitan Denver,CO-503,8014,Broomfield County,2011,57485.0
134,CO,Colorado,Metropolitan Denver,CO-503,8031,Denver County,2011,620250.0
135,CO,Colorado,Metropolitan Denver,CO-503,8035,Douglas County,2011,292626.0
136,CO,Colorado,Metropolitan Denver,CO-503,8059,Jefferson County,2011,540582.0
137,DC,District of Columbia,District of Columbia,DC-500,11001,District of Columbia,2011,620290.0
138,FL,Florida,Tampa/Hillsborough County,FL-501,12057,Hillsborough County,2011,1255639.0
139,GA,Georgia,Atlanta,GA-500,5049,Fulton County,2011,947582.0
140,IL,Illinois,Chicago,IL-510,17031,Cook County,2011,5219636.0
141,MA,Massachusetts,Boston,MA-500,25025,Suffolk County,2011,737285.0
142,MI,Michigan,Detroit,MI-501,26163,Wayne County,2011,1803003.0
143,NV,Nevada,Las Vegas/Clark County,NV-500,32003,Clark County,2011,1962162.0
144,NY,New York,New York City,NY-600,36005,Bronx County,2011,1396954.0
145,NY,New York,New York City,NY-600,36047,Kings County,2011,2540918.0
146,NY,New York,New York City,NY-600,36061,New York County,2011,1608717.0
147,NY,New York,New York City,NY-600,36081,Queens County,2011,2255261.0
148,NY,New York,New York City,NY-600,36085,Richmond County,2011,471014.0
149,PA,Pennsylvania,Philadelphia,PA-500,42101,Philadelphia Count,2011,
150,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48201,Harris County,2011,4179279.0
151,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48339,Montgomery County,2011,471456.0
152,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48157,Fort Bend County,2011,605979.0
153,TX,Texas,Austin/Travis County,TX-503,48453,Travis County,2011,1061662.0
154,WA,Washington,Seattle/King,WA-500,53033,King County,2011,1974499.0
155,AZ,Arizona,"Phoenix,Mesa/Maricopa",AZ-502,4013,Maricopa County,2012,3948165.0
156,CA,California,Los Angeles City & County,CA-600,6037,Los Angeles County,2012,9931394.0
157,CA,California,San Diego City and County,CA-601,6073,San Diego County,2012,3175148.0
158,CA,California,San Jose/Santa Clara City & County,CA-500,6085,Santa Clara County,2012,1837605.0
159,CA,California,San Bernardino City & County,CA-609,6071,San Bernardino County,2012,2073088.0
160,CA,California,San Francisco,CA-501,6075,San Francisco County,2012,828963.0
161,CO,Colorado,Metropolitan Denver,CO-503,8001,Adams County,2012,460568.0
162,CO,Colorado,Metropolitan Denver,CO-503,8005,Arapahoe County,2012,597052.0
163,CO,Colorado,Metropolitan Denver,CO-503,8013,Boulder County,2012,304717.0
